model_type,input_shape,amplitude_shape,data_dir,seed,var_y,activation,width,depth,skip_block_layers,beta,alpha,normal_scaled,lr_decay_type,initial_lr,final_lr,decay_steps,train-sample-size,validate-sample-size,test-sample-size,use_MC_sample,batch_size,steps_per_epoch,early_stopping_start_epoch,patience,monitor,loss,gradient_clipping,verbose,base_directory,epochs,model-uuid,start_time,device,directory,train-samples-used,validate-samples-used,test-samples-used,n_targets,scaling,trainable_parameters,non_trainable_parameters,total_parameters,final_decayed_lr,final_validation_r2,final_validation_loss,last_epoch,n_training_epochs,fit_time,end_time,training_status,config_path,bn_mode,dropout_rate,load_checkpoint,tm_r2_y5,tm_r2_y6,tm_r2_model,tm_abs_score_y5,tm_abs_score_y6,tm_abs_score_model
skip,4,36,/scratch/akula.ha/dataset,42,"['y5', 'y6']",swish,32,16,3,0,0,False,exp,0.001,1e-06,80000,5000000,500000,500000,False,1024,2400,400,150,val_mse,mse,True,1,../models/,2000,befde333,2024-10-20 17:58:10 -0400,cuda,../models/skip-torch-4D-y5_y6-befde333,6,6,6,2,{},83778,0,83778,9.455862412651336e-14,99.75744460712205,0.023581712136120724,666,516,7:04:26,2024-10-21 01:05:27 -0400,complete,../models/run1/skip-torch-4D-y5_y6-befde333--16-32-swish-1024-adam-exp-schedule-mse-val_mse-96.101660-99.768756/config-befde333.json,,,5c84c83c,51.231492411601124,23.54685767561029,99.76875550252085,99.84652855679842,99.47538755617674,96.10165982181547
skip,4,36,/scratch/akula.ha/dataset,42,"['y5', 'y6']",leaky_relu,32,16,1,0,0,False,lambda_exp,0.003,1e-06,120000,5000000,500000,500000,False,1024,2000,50,150,val_mse,mse,True,1,../models/,1000,f1c55367,2024-10-16 15:19:43 -0400,cuda,../models/skip-torch-4D-y5_y6-f1c55367,6,6,6,2,{},49986,0,49986,0.002997817943290019,-3.6892778261619397e+40,4.5152314924521557e+39,204,54,3:05:05,2024-10-16 18:28:02 -0400,complete,../models/run1/skip-torch-4D-y5_y6-f1c55367--16-32-leaky_relu-1024-adam-lambda_exp-schedule-mse-val_mse-93.452656-99.630993/config-f1c55367.json,,,,57.36296567938031,37.19239559131125,99.6309932903489,94.18681021142221,97.74096309821246,93.45265608740057
skip-light,4,36,/scratch/akula.ha/dataset,42,"['y5', 'y6']",leaky_relu,36,4,5,0,0,False,exp,0.003,1e-06,120000,10000000,500000,500000,False,1024,2400,50,50,val_mse,mse,True,1,../models/,2000,09afb824,2025-04-25 05:39:28 -0400,cuda,../models/skip-light-torch-4D-y5_y6-09afb824,6,6,6,2,{},28334,0,28334,0.00017094796660466465,99.66502941046738,0.03430120291314904,124,74,1:56:02,2025-04-25 07:38:13 -0400,complete,../models/skip-light-torch-4D-y5_y6-09afb824--4-36-leaky_relu-1024-adam-exp-schedule-mse-val_mse-94.530318-99.756610/config-09afb824.json,,,,59.85266036194328,39.510363363985626,99.7566095300771,95.27200489107655,99.81848212256173,94.53031801694156
skip-light,4,36,/scratch/akula.ha/dataset,42,"['y5', 'y6']",leaky_relu,29,13,9,0,0,False,exp,0.003,1e-06,120000,10000000,500000,500000,False,2048,2400,5,50,val_mse,mse,True,1,../models/,50,1016a321,2024-11-22 07:14:08 -0500,cuda,../models/skip-light-torch-4D-y5_y6-1016a321,6,6,6,2,{},101995,0,101995,0.0009670277313296825,99.64588603961039,0.03541514255257597,49,47,3:03:46,2024-11-22 10:19:06 -0500,complete,../models/skip-light-torch-4D-y5_y6-1016a321--13-29-leaky_relu-2048-adam-exp-schedule-mse-val_mse-96.675067-99.824156/config-1016a321.json,,,,60.75167358378726,38.93078877006363,99.82415554735063,98.41388994443273,99.97688841171204,96.67506703515414
skip-light,4,36,/scratch/akula.ha/dataset,42,"['y5', 'y6']",leaky_relu,36,4,5,0,0,False,exp,0.003,1e-06,120000,10000000,500000,500000,False,1024,2400,50,50,val_mse,mse,True,1,../models/,2000,14252f09,2025-04-04 08:37:51 -0400,cuda,../models/skip-light-torch-4D-y5_y6-14252f09,6,6,6,2,{},28334,0,28334,0.00017094796660466465,99.66502941046738,0.03430120291314904,124,74,1:58:40,2025-04-04 10:39:28 -0400,complete,../models/skip-light-torch-4D-y5_y6-14252f09--4-36-leaky_relu-1024-adam-exp-schedule-mse-val_mse-94.530318-99.756610/config-14252f09.json,per_layer,,,59.85266036194328,39.510363363985626,99.7566095300771,95.27200489107655,99.81848212256173,94.53031801694156
skip-light,4,36,/scratch/akula.ha/dataset,42,"['y5', 'y6']",leaky_relu,32,10,5,0,0,False,exp,0.003,1e-06,120000,10000000,500000,500000,False,1024,2400,50,50,val_mse,mse,True,1,../models/,2000,2c75d2d4,2025-03-03 10:27:20 -0500,cuda,../models/skip-light-torch-4D-y5_y6-2c75d2d4,6,6,6,2,{},53666,0,53666,2.1368495825582983e-05,99.81377375499183,0.018631037211962735,214,164,4:18:25,2025-03-03 14:48:41 -0500,complete,../models/skip-light-torch-4D-y5_y6-2c75d2d4--10-32-leaky_relu-1024-adam-exp-schedule-mse-val_mse-97.522405-99.878733/config-2c75d2d4.json,per_block,,,62.56697195316603,40.897914689284875,99.87873259648248,98.3729700294145,99.34296186626332,97.5224047258638
skip-light,4,36,/scratch/akula.ha/dataset,42,"['y5', 'y6']",leaky_relu,32,10,5,0,0,False,exp,0.003,1e-06,120000,10000000,500000,500000,False,1024,2400,50,50,val_mse,mse,True,1,../models/,2000,4439c2d3,2024-11-02 20:21:37 -0400,cuda,../models/skip-light-torch-4D-y5_y6-4439c2d3,6,6,6,2,{},53026,0,53026,6.576926064312645e-06,99.95449502012042,0.004631472688359007,265,215,4:26:34,2024-11-03 00:50:57 -0400,complete,../models/skip-light-torch-4D-y5_y6-4439c2d3--10-32-leaky_relu-1024-adam-exp-schedule-mse-val_mse-98.117280-99.951496/config-4439c2d3.json,,,,78.35601472438599,19.22357447953098,99.95149596268271,99.84492972311931,99.17582127287378,98.11727962838984
skip-light,4,36,/scratch/akula.ha/dataset,42,"['y5', 'y6']",leaky_relu,36,2,5,0,0,False,exp,0.003,1e-06,120000,10000000,500000,500000,False,1024,2400,50,50,val_mse,mse,True,1,../models/,2000,5c42c053,2025-03-30 19:20:06 -0400,cuda,../models/skip-light-torch-4D-y5_y6-5c42c053,6,6,6,2,{},14294,0,14294,4.613968688579772e-07,99.90347562520043,0.009492601861439394,380,330,4:12:06,2025-03-30 23:35:15 -0400,complete,../models/skip-light-torch-4D-y5_y6-5c42c053--2-36-leaky_relu-1024-adam-exp-schedule-mse-val_mse-96.549151-99.910900/config-5c42c053.json,per_layer,,,72.88544065652593,63.42430181157963,99.9109003380654,98.33426543727244,99.58770008054087,96.54915137547437
skip-light,4,36,/scratch/akula.ha/dataset,42,"['y5', 'y6']",leaky_relu,26,14,6,0,0,False,exp,0.003,1e-06,120000,10000000,500000,500000,False,1024,2400,50,50,val_mse,mse,True,1,../models/,2000,709da841,2024-11-15 11:50:56 -0500,cuda,../models/skip-light-torch-4D-y5_y6-709da841,6,6,6,2,{},59152,0,59152,3.80743310791982e-05,99.74427734038353,0.02604208353721464,189,139,3:44:59,2024-11-15 15:39:10 -0500,complete,../models/skip-light-torch-4D-y5_y6-709da841--14-26-leaky_relu-1024-adam-exp-schedule-mse-val_mse-96.505790-99.812150/config-709da841.json,,,,56.832814561587305,27.2058774221667,99.81215012234598,98.66828396151338,96.64244640439182,96.50578951854102
skip-light,4,36,/scratch/akula.ha/dataset,42,"['y5', 'y6']",leaky_relu,26,14,6,0,0,False,exp,0.003,1e-06,120000,10000000,500000,500000,False,1024,2400,50,50,val_mse,mse,True,1,../models/,2000,775ca2b6,2024-11-18 11:05:57 -0500,cuda,../models/skip-light-torch-4D-y5_y6-775ca2b6,6,6,6,2,{},59152,0,59152,3.80743310791982e-05,99.74427734038353,0.02604208353721464,189,139,4:29:55,2024-11-18 15:38:56 -0500,complete,../models/skip-light-torch-4D-y5_y6-775ca2b6--14-26-leaky_relu-1024-adam-exp-schedule-mse-val_mse-96.505790-99.812150/config-775ca2b6.json,,,,56.832814561587305,27.2058774221667,99.81215012234598,98.66828396151338,96.64244640439182,96.50578951854102
