model_type,input_shape,amplitude_shape,data_dir,seed,var_y,activation,width,depth,skip_block_layers,beta,alpha,normal_scaled,lr_decay_type,initial_lr,final_lr,decay_steps,train-sample-size,validate-sample-size,test-sample-size,use_MC_sample,batch_size,steps_per_epoch,early_stopping_start_epoch,patience,monitor,loss,gradient_clipping,verbose,base_directory,epochs,model-uuid,start_time,device,directory,train-samples-used,validate-samples-used,test-samples-used,n_targets,scaling,trainable_parameters,non_trainable_parameters,total_parameters,final_decayed_lr,final_validation_r2,final_validation_loss,last_epoch,n_training_epochs,fit_time,end_time,training_status,config_path,bn_mode,dropout_rate,load_checkpoint,tm_r2_y5,tm_r2_y6,tm_r2_model,tm_abs_score_y5,tm_abs_score_y6,tm_abs_score_model
skip-light,4,36,/scratch/akula.ha/dataset,42,"['y5', 'y6']",leaky_relu,29,13,9,0,0,False,exp,0.003,1e-06,120000,10000000,500000,500000,False,1024,2400,50,50,val_mse,mse,True,1,../models/,2000,fe15fc3c,2024-11-11 23:06:01 -0500,cuda,../models/skip-light-torch-4D-y5_y6-fe15fc3c,6,6,6,2,{},101995,0,101995,0.00011020761621408755,99.78387166806819,0.022947948419303567,143,93,3:37:22,2024-11-12 02:46:30 -0500,complete,../models/skip-light-torch-4D-y5_y6-fe15fc3c--13-29-leaky_relu-1024-adam-exp-schedule-mse-val_mse-96.667286-99.840031/config-fe15fc3c.json,,,,56.45943742724023,39.72703555338987,99.84003089456873,98.61645673139446,98.15902163860667,96.66728570698211
skip-light,4,36,/scratch/akula.ha/dataset,42,"['y5', 'y6']",leaky_relu,32,10,5,0,0,False,exp,0.003,1e-06,120000,10000000,500000,500000,False,1024,2400,50,50,val_mse,mse,True,1,../models/,2000,ff166325,2025-03-03 10:56:28 -0500,cuda,../models/skip-light-torch-4D-y5_y6-ff166325,6,6,6,2,{},56226,0,56226,4.909191200721646e-05,99.27995521598938,0.07051053409121626,178,128,4:52:59,2025-03-03 15:52:47 -0500,complete,../models/skip-light-torch-4D-y5_y6-ff166325--10-32-leaky_relu-1024-adam-exp-schedule-mse-val_mse-89.049638-99.539715/config-ff166325.json,per_layer,0.01,,56.974213443733746,30.76345293451458,99.53971490459963,88.77265190894057,96.75876706218644,89.0496384295132
skip,4,36,/scratch/akula.ha/dataset,42,"['y5', 'y6']",swish,32,16,3,0,0,False,exp,0.003,1e-06,120000,30000000,500000,500000,False,1024,2400,50,50,val_mse,mse,True,1,../models/,2000,35bcd42f,2024-10-24 17:12:48 -0400,cuda,../models/skip-torch-4D-y5_y6-35bcd42f,6,6,6,2,{},83778,0,83778,0.00018749999999999895,-2.8809065255597233e-05,9.798789899650009,120,70,3:41:26,2024-10-24 20:57:01 -0400,complete,../models/skip-torch-4D-y5_y6-35bcd42f--16-32-swish-1024-adam-exp-schedule-mse-val_mse--16.964800--0.000048/config-35bcd42f.json,,,,-0.37517501632182704,-1.0938829423001728,-4.8079463232930664e-05,5.139228679072005,-18.473536359577878,-16.96480024360456
skip,4,36,/scratch/akula.ha/dataset,42,"['y5', 'y6']",leaky_relu,32,10,8,0,0,False,exp,0.003,1e-06,120000,10000000,500000,500000,False,1024,2400,50,50,val_mse,mse,True,1,../models/,2000,610913d6,2024-10-28 15:56:47 -0400,cuda,../models/skip-torch-4D-y5_y6-610913d6,6,6,6,2,{},104898,0,104898,3.720471215550434e-05,99.9072909192007,0.00964787449408087,190,140,4:59:23,2024-10-28 20:59:01 -0400,complete,../models/skip-torch-4D-y5_y6-610913d6--10-32-leaky_relu-1024-adam-exp-schedule-mse-val_mse-97.639609-99.903871/config-610913d6.json,,,,65.77517386599112,42.96968804153888,99.90387107655354,99.98217104707075,99.20648016106026,97.6396088028746
skip,4,36,/scratch/akula.ha/dataset,42,"['y5', 'y6']",leaky_relu,32,16,3,0,0,False,exp,0.003,1e-06,120000,10000000,500000,500000,False,1024,2400,50,50,val_mse,mse,True,1,../models/,2000,728c1548,2024-10-24 16:54:24 -0400,cuda,../models/skip-torch-4D-y5_y6-728c1548,6,6,6,2,{},83778,0,83778,8.352175482565618e-05,99.75178018442043,0.023734553916234018,155,105,3:39:02,2024-10-24 20:36:29 -0400,complete,../models/skip-torch-4D-y5_y6-728c1548--16-32-leaky_relu-1024-adam-exp-schedule-mse-val_mse-97.085949-99.846589/config-728c1548.json,,,,60.234687302276654,33.295829533261454,99.84658918605143,98.58601208135443,99.2696596285035,97.08594877961633
skip,4,36,/scratch/akula.ha/dataset,42,"['y5', 'y6']",leaky_relu,32,12,5,0,0,False,exp,0.003,1e-06,120000,10000000,500000,500000,False,1024,2400,50,50,val_mse,mse,True,1,../models/,2000,a477dbb0,2024-10-31 19:18:56 -0400,cuda,../models/skip-torch-4D-y5_y6-a477dbb0,6,6,6,2,{},88002,0,88002,1.8177477677738878e-05,99.51762044929869,0.04601627859008445,221,171,4:57:39,2024-11-01 00:19:31 -0400,complete,../models/skip-torch-4D-y5_y6-a477dbb0--12-32-leaky_relu-1024-adam-exp-schedule-mse-val_mse-97.263297-99.893996/config-a477dbb0.json,,,,58.99229307598943,35.86228476370194,99.89399621506898,99.40125363582175,99.3210071020671,97.26329701202616
skip,4,36,/scratch/akula.ha/dataset,42,"['y5', 'y6']",leaky_relu,32,7,8,0,0,False,exp,0.003,1e-06,120000,10000000,500000,500000,False,1024,2400,50,50,val_mse,mse,True,1,../models/,2000,c0567ad7,2024-10-25 15:52:27 -0400,cuda,../models/skip-torch-4D-y5_y6-c0567ad7,6,6,6,2,{},73218,0,73218,0.0001963676480288664,99.66414024478266,0.03341547027304643,118,68,3:15:00,2024-10-25 19:10:42 -0400,complete,../models/skip-torch-4D-y5_y6-c0567ad7--7-32-leaky_relu-1024-adam-exp-schedule-mse-val_mse-96.436802-99.819096/config-c0567ad7.json,,,,58.23106247962689,50.44906748470036,99.81909550703281,97.29472557826405,94.97632522808732,96.43680157207984
skip,4,36,/scratch/akula.ha/dataset,42,"['y5', 'y6']",leaky_relu,32,10,5,0,0,False,exp,0.003,1e-06,120000,10000000,500000,500000,False,1024,2400,50,50,val_mse,mse,True,1,../models/,2000,c728dc8a,2024-10-24 17:13:16 -0400,cuda,../models/skip-torch-4D-y5_y6-c728dc8a,6,6,6,2,{},73218,0,73218,9.664364580855993e-07,99.93475796279145,0.006773549983319985,348,298,7:29:38,2024-10-25 00:45:59 -0400,complete,../models/skip-torch-4D-y5_y6-c728dc8a--10-32-leaky_relu-1024-adam-exp-schedule-mse-val_mse-98.059747-99.940170/config-c728dc8a.json,,,,71.90075968715185,49.55489778504646,99.94017006956956,99.79511712455815,99.50068344761564,98.05974739769087
skip,4,36,/scratch/akula.ha/dataset,42,"['y5', 'y6']",leaky_relu,40,8,5,0,0,False,exp,0.003,1e-06,120000,10000000,500000,500000,False,1024,2400,50,50,val_mse,mse,True,1,../models/,2000,d1df61b9,2024-10-31 19:17:44 -0400,cuda,../models/skip-torch-4D-y5_y6-d1df61b9,6,6,6,2,{},90642,0,90642,0.00022556719426539566,99.79615122417296,0.020944054994418024,112,62,2:01:26,2024-10-31 21:21:56 -0400,complete,../models/skip-torch-4D-y5_y6-d1df61b9--8-40-leaky_relu-1024-adam-exp-schedule-mse-val_mse-96.733908-99.860437/config-d1df61b9.json,,,,63.12070264432184,42.04081083624348,99.86043723041816,99.6163876402763,99.20648700152483,96.73390807309467
skip,4,36,/scratch/akula.ha/dataset,42,"['y5', 'y6']",leaky_relu,32,16,3,0,0,False,exp,0.003,1e-06,120000,10000000,1000000,1000000,False,1024,2400,50,50,val_mse,mse,True,1,../models/,2000,e335ae1d,2024-10-24 16:56:18 -0400,cuda,../models/skip-torch-4D-y5_y6-e335ae1d,6,6,6,2,{},83778,0,83778,8.352175482565618e-05,99.74461045391183,0.024372640901935413,155,105,3:53:29,2024-10-24 20:53:09 -0400,complete,../models/skip-torch-4D-y5_y6-e335ae1d--16-32-leaky_relu-1024-adam-exp-schedule-mse-val_mse-97.158935-99.833335/config-e335ae1d.json,,,,45.27102964305656,33.53577999986646,99.83333466310675,98.56463732827866,99.12579233465694,97.15893467879758
